school,nickname,url,location,secondary_name,slug,primary_color,short_name,home_venue
Minnesota,Golden Gophers,/cbb/schools/minnesota/men/,"Minneapolis, Minnesota",,minnesota,#7A0019,,"Minneapolis, Minnesota"
Mississippi,Rebels,/cbb/schools/mississippi/men/,"University, Mississippi",Ole Miss,mississippi,#14213D,,"The Sandy and John Black Pavilion at Ole Miss, University, Mississippi"
Mississippi State,Bulldogs,/cbb/schools/mississippi-state/men/,"Mississippi State, Mississippi",,mississippi-state,#660000,,"Starkville, Mississippi"
Mississippi Valley State,Delta Devils,/cbb/schools/mississippi-valley-state/men/,"Itta Bena, Mississippi",,mississippi-valley-state,#166240,,"Itta Bena, Mississippi"
Missouri State,Bears,/cbb/schools/missouri-state/men/,"Springfield, Missouri",,missouri-state,#4E3629,,"Springfield, Missouri"
Missouri,Tigers,/cbb/schools/missouri/men/,"Columbia, Missouri",,missouri,#F1B82D,,"Columbia, Missouri"
Monmouth,Hawks,/cbb/schools/monmouth/men/,"West Long Branch, New Jersey",,monmouth,#00205B,Monmouth,"West Long Branch, New Jersey"
Montana,Grizzlies,/cbb/schools/montana/men/,"Missoula, Montana",,montana,#660000,Montana,"Missoula, Montana"
Montana State,Bobcats,/cbb/schools/montana-state/men/,"Bozeman, Montana",,montana-state,#0033A0,MontSt,"Worthington Arena, Bozeman, Montana"
Morehead State,Eagles,/cbb/schools/morehead-state/men/,"Morehead, Kentucky",,morehead-state,#0033A0,Morehead,"Morehead, Kentucky"
Morgan State,Bears,/cbb/schools/morgan-state/men/,"Baltimore, Maryland",,morgan-state,#003A70,MorganSt,"Baltimore, Maryland"
Mount St. Mary's,Mountaineers,/cbb/schools/mount-st-marys/men/,"Emmitsburg, Maryland",,mount-st-mary-s,#00205B,The Mount,"Emmitsburg, Maryland"
Murray State,Racers,/cbb/schools/murray-state/men/,"Murray, Kentucky",,murray-state,#00205B,MurraySt,"Murray, Kentucky"
Navy,Midshipmen,/cbb/schools/navy/men/,"Annapolis, Maryland",,navy,#00205B,Navy,"Annapolis, Maryland"
NC State,Wolfpack,/cbb/schools/north-carolina-state/men/,"Raleigh, North Carolina",,nc-state,#CC0000,NC State,"Lenovo Center, Raleigh, North Carolina"
Nebraska,Cornhuskers,/cbb/schools/nebraska/men/,"Lincoln, Nebraska",,nebraska,#E41C38,Nebraska,"Lincoln, Nebraska"
Nevada,Wolf Pack,/cbb/schools/nevada/men/,"Reno, Nevada",,nevada,#003366,Nevada,"Reno, Nevada"
Nevada-Las Vegas,Rebels,/cbb/schools/nevada-las-vegas/men/,"Las Vegas, Nevada",UNLV,nevada-las-vegas,#CF0A2C,,"Las Vegas, Nevada"
