full_name,school,nickname,url,location
California Golden Bears,,,/cbb/schools/california/men/,"Berkeley, California"
Campbell Fighting Camels,,,/cbb/schools/campbell/men/,"Buies Creek, North Carolina"
Canisius Golden Griffins,,,/cbb/schools/canisius/men/,"Buffalo, New York"
Central Arkansas Bears,,,/cbb/schools/central-arkansas/men/,"Conway, Arkansas"
Central Connecticut State Blue Devils,,,/cbb/schools/central-connecticut-state/men/,"New Britain, Connecticut"
Central Florida Knights,,,/cbb/schools/central-florida/men/,"Orlando, Florida"
Central Michigan Chippewas,,,/cbb/schools/central-michigan/men/,"Mount Pleasant, Michigan"
Charleston Southern Buccaneers,,,/cbb/schools/charleston-southern/men/,"Charleston, South Carolina"
Charlotte 49ers,Charlotte,49ers,/cbb/schools/charlotte/men/,"Charlotte, North Carolina"
Chattanooga Mocs,Chattanooga,Mocs,/cbb/schools/chattanooga/men/,"Chattanooga, Tennessee"
Chicago State Cougars,,,/cbb/schools/chicago-state/men/,"Chicago, Illinois"
Cincinnati Bearcats,Cincinnati,Bearcats,/cbb/schools/cincinnati/men/,"Cincinnati, Ohio"
Clemson Tigers,Clemson,Tigers,/cbb/schools/clemson/men/,"Clemson, South Carolina"
Cleveland State Vikings,,,/cbb/schools/cleveland-state/men/,"Cleveland, Ohio"
Coastal Carolina Chanticleers,,,/cbb/schools/coastal-carolina/men/,"Conway, South Carolina"
Colgate Raiders,Colgate,Raiders,/cbb/schools/colgate/men/,"Hamilton, New York"
College of Charleston Cougars,,,/cbb/schools/college-of-charleston/men/,"Charleston, South Carolina"
Colorado Buffaloes,Colorado,Buffaloes,/cbb/schools/colorado/men/,"Boulder, Colorado"
Colorado State Rams,,,/cbb/schools/colorado-state/men/,"Fort Collins, Colorado"
Columbia Lions,Columbia,Lions,/cbb/schools/columbia/men/,"New York, New York"
Connecticut Huskies,Connecticut,Huskies,/cbb/schools/connecticut/men/,"Storrs, Connecticut"
Coppin State Eagles,,,/cbb/schools/coppin-state/men/,"Baltimore, Maryland"
Cornell Big Red,,,/cbb/schools/cornell/men/,"Ithaca, New York"
Creighton Bluejays,Creighton,Bluejays,/cbb/schools/creighton/men/,"Omaha, Nebraska"
Dartmouth Big Green,,,/cbb/schools/dartmouth/men/,"Hanover, New Hampshire"
Davidson Wildcats,Davidson,Wildcats,/cbb/schools/davidson/men/,"Davidson, North Carolina"
Dayton Flyers,Dayton,Flyers,/cbb/schools/dayton/men/,"Dayton, Ohio"
Delaware Fightin' Blue Hens,,,/cbb/schools/delaware/men/,"Newark, Delaware"
Delaware State Hornets,,,/cbb/schools/delaware-state/men/,"Dover, Delaware"
Denver Pioneers,Denver,Pioneers,/cbb/schools/denver/men/,"Denver, Colorado"
DePaul Blue Demons,,,/cbb/schools/depaul/men/,"Chicago, Illinois"
Detroit Mercy Titans,,,/cbb/schools/detroit-mercy/men/,"Detroit, Michigan"
Drake Bulldogs,Drake,Bulldogs,/cbb/schools/drake/men/,"Des Moines, Iowa"
Drexel Dragons,Drexel,Dragons,/cbb/schools/drexel/men/,"Philadelphia, Pennsylvania"
Duke Blue Devils,,,/cbb/schools/duke/men/,"Durham, North Carolina"
Duquesne Dukes,Duquesne,Dukes,/cbb/schools/duquesne/men/,"Pittsburgh, Pennsylvania"
East Carolina Pirates,,,/cbb/schools/east-carolina/men/,"Greenville, North Carolina"
East Tennessee State Buccaneers,,,/cbb/schools/east-tennessee-state/men/,"Johnson City, Tennessee"
Eastern Illinois Panthers,,,/cbb/schools/eastern-illinois/men/,"Charleston, Illinois"
Eastern Kentucky Colonels,,,/cbb/schools/eastern-kentucky/men/,"Richmond, Kentucky"
Eastern Michigan Eagles,,,/cbb/schools/eastern-michigan/men/,"Ypsilanti, Michigan"
Eastern Washington Eagles,,,/cbb/schools/eastern-washington/men/,"Cheney, Washington"
Elon Phoenix,Elon,Phoenix,/cbb/schools/elon/men/,"Elon, North Carolina"
Evansville Purple Aces,,,/cbb/schools/evansville/men/,"Evansville, Indiana"
Fairfield Stags,Fairfield,Stags,/cbb/schools/fairfield/men/,"Fairfield, Connecticut"
Fairleigh Dickinson Knights,,,/cbb/schools/fairleigh-dickinson/men/,"Teaneck, New Jersey"
Florida A&M Rattlers,,,/cbb/schools/florida-am/men/,"Tallahassee, Florida"
Florida Atlantic Owls,,,/cbb/schools/florida-atlantic/men/,"Boca Raton, Florida"
Florida Gators,Florida,Gators,/cbb/schools/florida/men/,"Gainesville, Florida"
Florida Gulf Coast Eagles,,,/cbb/schools/florida-gulf-coast/men/,"Fort Myers, Florida"
Florida International Panthers,,,/cbb/schools/florida-international/men/,"Miami, Florida"
Florida State Seminoles,,,/cbb/schools/florida-state/men/,"Tallahassee, Florida"
Fordham Rams,Fordham,Rams,/cbb/schools/fordham/men/,"Bronx, New York"
Fresno State Bulldogs,,,/cbb/schools/fresno-state/men/,"Fresno, California"
Furman Paladins,Furman,Paladins,/cbb/schools/furman/men/,"Greenville, South Carolina"
Gardner-Webb Runnin' Bulldogs,,,/cbb/schools/gardner-webb/men/,"Boiling Springs, North Carolina"
George Mason Patriots,,,/cbb/schools/george-mason/men/,"Fairfax, Virginia"
George Washington Colonials,,,/cbb/schools/george-washington/men/,"Washington, D.C."
Georgetown Hoyas,Georgetown,Hoyas,/cbb/schools/georgetown/men/,"Washington, D.C."
Georgia Bulldogs,Georgia,Bulldogs,/cbb/schools/georgia/men/,"Athens, Georgia"
Georgia Southern Eagles,,,/cbb/schools/georgia-southern/men/,"Statesboro, Georgia"
Georgia State Panthers,,,/cbb/schools/georgia-state/men/,"Atlanta, Georgia"
Georgia Tech Yellow Jackets,,,/cbb/schools/georgia-tech/men/,"Atlanta, Georgia"
Gonzaga Bulldogs,Gonzaga,Bulldogs,/cbb/schools/gonzaga/men/,"Spokane, Washington"
Grambling Tigers,Grambling,Tigers,/cbb/schools/grambling/men/,"Grambling, Louisiana"
Grand Canyon Antelopes,,,/cbb/schools/grand-canyon/men/,"Phoenix, Arizona"
Green Bay Phoenix,,,/cbb/schools/green-bay/men/,"Green Bay, Wisconsin"
Hampton Pirates,Hampton,Pirates,/cbb/schools/hampton/men/,"Hampton, Virginia"
Hartford Hawks,Hartford,Hawks,/cbb/schools/hartford/men/,"West Hartford, Connecticut"
Harvard Crimson,Harvard,Crimson,/cbb/schools/harvard/men/,"Boston, Massachusetts"
Hawaii Rainbow Warriors,,,/cbb/schools/hawaii/men/,"Honolulu, Hawaii"
High Point Panthers,,,/cbb/schools/high-point/men/,"High Point, North Carolina"
Hofstra Pride,Hofstra,Pride,/cbb/schools/hofstra/men/,"Hempstead, New York"
Holy Cross Crusaders,,,/cbb/schools/holy-cross/men/,"Worcester, Massachusetts"
Houston Christian Huskies,,,/cbb/schools/houston-baptist/men/,"Houston, Texas"
Houston Cougars,Houston,Cougars,/cbb/schools/houston/men/,"Houston, Texas"
Howard Bison,Howard,Bison,/cbb/schools/howard/men/,"Washington, D.C."
Idaho State Bengals,,,/cbb/schools/idaho-state/men/,"Pocatello, Idaho"
Idaho Vandals,Idaho,Vandals,/cbb/schools/idaho/men/,"Moscow, Idaho"
Illinois Fighting Illini,,,/cbb/schools/illinois/men/,"Champaign, Illinois"
Illinois State Redbirds,,,/cbb/schools/illinois-state/men/,"Normal, Illinois"
Illinois-Chicago Flames,Illinois-Chicago,Flames,/cbb/schools/illinois-chicago/men/,"Chicago, Illinois"
Incarnate Word Cardinals,,,/cbb/schools/incarnate-word/men/,"San Antonio, Texas"
Indiana Hoosiers,Indiana,Hoosiers,/cbb/schools/indiana/men/,"Bloomington, Indiana"
Indiana State Sycamores,,,/cbb/schools/indiana-state/men/,"Terre Haute, Indiana"
Iona Gaels,Iona,Gaels,/cbb/schools/iona/men/,"New Rochelle, New York"
Iowa Hawkeyes,Iowa,Hawkeyes,/cbb/schools/iowa/men/,"Iowa City, Iowa"
Iowa State Cyclones,,,/cbb/schools/iowa-state/men/,"Ames, Iowa"
IUPUI Jaguars,IUPUI,Jaguars,/cbb/schools/iupui/men/,"Indianapolis, Indiana"
Jackson State Tigers,,,/cbb/schools/jackson-state/men/,"Jackson, Mississippi"
Jacksonville Dolphins,Jacksonville,Dolphins,/cbb/schools/jacksonville/men/,"Jacksonville, Florida"
Jacksonville State Gamecocks,,,/cbb/schools/jacksonville-state/men/,"Jacksonville, Alabama"
James Madison Dukes,,,/cbb/schools/james-madison/men/,"Harrisonburg, Virginia"
Kansas City Roos,,,/cbb/schools/missouri-kansas-city/men/,"Kansas City, Missouri"
Kansas Jayhawks,Kansas,Jayhawks,/cbb/schools/kansas/men/,"Lawrence, Kansas"
Kansas State Wildcats,,,/cbb/schools/kansas-state/men/,"Manhattan, Kansas"
Kennesaw State Owls,,,/cbb/schools/kennesaw-state/men/,"Kennesaw, Georgia"
Kent State Golden Flashes,,,/cbb/schools/kent-state/men/,"Kent, Ohio"
Kentucky Wildcats,Kentucky,Wildcats,/cbb/schools/kentucky/men/,"Lexington, Kentucky"
La Salle Explorers,,,/cbb/schools/la-salle/men/,"Philadelphia, Pennsylvania"
Lafayette Leopards,Lafayette,Leopards,/cbb/schools/lafayette/men/,"Easton, Pennsylvania"
Lamar Cardinals,Lamar,Cardinals,/cbb/schools/lamar/men/,"Beaumont, Texas"
Lehigh Mountain Hawks,,,/cbb/schools/lehigh/men/,"Bethlehem, Pennsylvania"
Liberty Flames,Liberty,Flames,/cbb/schools/liberty/men/,"Lynchburg, Virginia"
Lindenwood Lions,Lindenwood,Lions,/cbb/schools/lindenwood/men/,"St. Charles, Missouri"
Lipscomb Bisons,Lipscomb,Bisons,/cbb/schools/lipscomb/men/,"Nashville, Tennessee"
Little Rock Trojans,,,/cbb/schools/arkansas-little-rock/men/,"Little Rock, Arkansas"
Long Beach State Beach,,,/cbb/schools/long-beach-state/men/,"Long Beach, California"
Long Island University Sharks,,,/cbb/schools/long-island-university/men/,"Brooklyn, New York"
Longwood Lancers,Longwood,Lancers,/cbb/schools/longwood/men/,"Farmville, Virginia"
Louisiana Ragin' Cajuns,,,/cbb/schools/louisiana-lafayette/men/,"Lafayette, Louisiana"
Louisiana State Fighting Tigers,,,/cbb/schools/louisiana-state/men/,"Baton Rouge, Louisiana"
Louisiana Tech Bulldogs,,,/cbb/schools/louisiana-tech/men/,"Ruston, Louisiana"
